trial_id,start_at,end_at,event,clip_id,subject,run
15,10624,11425,1,6_15,1,7
16,11296,12097,2,6_16,1,7
17,11952,12753,1,6_17,1,7
18,12624,13425,3,6_18,1,7
19,13280,14081,1,6_19,1,7
20,13952,14753,3,6_20,1,7
21,14608,15409,1,6_21,1,7
22,15280,16081,2,6_22,1,7
23,15936,16737,1,6_23,1,7
24,16608,17409,3,6_24,1,7
25,17264,18065,1,6_25,1,7
26,17936,18737,2,6_26,1,7
27,18592,19393,1,6_27,1,7
28,19264,20065,2,6_28,1,7
0,672,1473,2,7_0,1,8
1,1328,2129,1,7_1,1,8
2,2000,2801,3,7_2,1,8
3,2656,3457,1,7_3,1,8
4,3328,4129,2,7_4,1,8
5,3984,4785,1,7_5,1,8
6,4656,5457,3,7_6,1,8
7,5312,6113,1,7_7,1,8
8,5984,6785,2,7_8,1,8
9,6640,7441,1,7_9,1,8
10,7312,8113,3,7_10,1,8
11,7968,8769,1,7_11,1,8
12,8640,9441,2,7_12,1,8
13,9296,10097,1,7_13,1,8
14,9968,10769,3,7_14,1,8
15,10624,11425,1,7_15,1,8
16,11296,12097,3,7_16,1,8
17,11952,12753,1,7_17,1,8
18,12624,13425,2,7_18,1,8
19,13280,14081,1,7_19,1,8
20,13952,14753,2,7_20,1,8
21,14608,15409,1,7_21,1,8
22,15280,16081,3,7_22,1,8
23,15936,16737,1,7_23,1,8
24,16608,17409,3,7_24,1,8
25,17264,18065,1,7_25,1,8
26,17936,18737,2,7_26,1,8
27,18592,19393,1,7_27,1,8
28,19264,20065,2,7_28,1,8
0,672,1473,3,8_0,1,9
1,1328,2129,1,8_1,1,9
2,2000,2801,2,8_2,1,9
3,2656,3457,1,8_3,1,9
4,3328,4129,3,8_4,1,9
5,3984,4785,1,8_5,1,9
6,4656,5457,2,8_6,1,9
7,5312,6113,1,8_7,1,9
8,5984,6785,2,8_8,1,9
9,6640,7441,1,8_9,1,9
10,7312,8113,3,8_10,1,9
11,7968,8769,1,8_11,1,9
12,8640,9441,3,8_12,1,9
13,9296,10097,1,8_13,1,9
14,9968,10769,2,8_14,1,9
15,10624,11425,1,8_15,1,9
16,11296,12097,3,8_16,1,9
17,11952,12753,1,8_17,1,9
18,12624,13425,2,8_18,1,9
19,13280,14081,1,8_19,1,9
20,13952,14753,3,8_20,1,9
21,14608,15409,1,8_21,1,9
22,15280,16081,2,8_22,1,9
23,15936,16737,1,8_23,1,9
24,16608,17409,2,8_24,1,9
25,17264,18065,1,8_25,1,9
26,17936,18737,3,8_26,1,9
27,18592,19393,1,8_27,1,9
28,19264,20065,3,8_28,1,9
0,672,1473,3,9_0,1,10
1,1328,2129,1,9_1,1,10
2,2000,2801,2,9_2,1,10
3,2656,3457,1,9_3,1,10
4,3328,4129,2,9_4,1,10
5,3984,4785,1,9_5,1,10
6,4656,5457,3,9_6,1,10
18,12624,13425,3,11_18,1,12
19,13280,14081,1,11_19,1,12
20,13952,14753,3,11_20,1,12
21,14608,15409,1,11_21,1,12
22,15280,16081,2,11_22,1,12
23,15936,16737,1,11_23,1,12
24,16608,17409,3,11_24,1,12
25,17264,18065,1,11_25,1,12
26,17936,18737,2,11_26,1,12
27,18592,19393,1,11_27,1,12
28,19264,20065,3,11_28,1,12
0,672,1473,3,12_0,1,13
1,1328,2129,1,12_1,1,13
2,2000,2801,2,12_2,1,13
3,2656,3457,1,12_3,1,13
4,3328,4129,3,12_4,1,13
5,3984,4785,1,12_5,1,13
6,4656,5457,2,12_6,1,13
7,5312,6113,1,12_7,1,13
8,5984,6785,2,12_8,1,13
9,6640,7441,1,12_9,1,13
10,7312,8113,3,12_10,1,13
11,7968,8769,1,12_11,1,13
12,8640,9441,2,12_12,1,13
13,9296,10097,1,12_13,1,13
14,9968,10769,3,12_14,1,13
15,10624,11425,1,12_15,1,13
16,11296,12097,3,12_16,1,13
17,11952,12753,1,12_17,1,13
18,12624,13425,2,12_18,1,13
19,13280,14081,1,12_19,1,13
20,13952,14753,3,12_20,1,13
21,14608,15409,1,12_21,1,13
22,15280,16081,2,12_22,1,13
23,15936,16737,1,12_23,1,13
24,16608,17409,2,12_24,1,13
25,17264,18065,1,12_25,1,13
26,17936,18737,3,12_26,1,13
27,18592,19393,1,12_27,1,13
28,19264,20065,2,12_28,1,13
0,672,1473,2,13_0,1,14
1,1328,2129,1,13_1,1,14
2,2000,2801,3,13_2,1,14
3,2656,3457,1,13_3,1,14
4,3328,4129,2,13_4,1,14
5,3984,4785,1,13_5,1,14
6,4656,5457,3,13_6,1,14
7,5312,6113,1,13_7,1,14
8,5984,6785,3,13_8,1,14
9,6640,7441,1,13_9,1,14
10,7312,8113,2,13_10,1,14
11,7968,8769,1,13_11,1,14
12,8640,9441,3,13_12,1,14
13,9296,10097,1,13_13,1,14
14,9968,10769,2,13_14,1,14
15,10624,11425,1,13_15,1,14
16,11296,12097,3,13_16,1,14
17,11952,12753,1,13_17,1,14
18,12624,13425,2,13_18,1,14
19,13280,14081,1,13_19,1,14
20,13952,14753,2,13_20,1,14
21,14608,15409,1,13_21,1,14
22,15280,16081,3,13_22,1,14
23,15936,16737,1,13_23,1,14
24,16608,17409,2,13_24,1,14
25,17264,18065,1,13_25,1,14
26,17936,18737,3,13_26,1,14
27,18592,19393,1,13_27,1,14
28,19264,20065,2,13_28,1,14
