trial_id,start_at,end_at,event,clip_id,subject,run
15,10624,11425,1,6_15,1,7
16,11296,12097,2,6_16,1,7
17,11952,12753,1,6_17,1,7
18,12624,13425,3,6_18,1,7
19,13280,14081,1,6_19,1,7
20,13952,14753,3,6_20,1,7
21,14608,15409,1,6_21,1,7
22,15280,16081,2,6_22,1,7
23,15936,16737,1,6_23,1,7
24,16608,17409,3,6_24,1,7
25,17264,18065,1,6_25,1,7
26,17936,18737,2,6_26,1,7
27,18592,19393,1,6_27,1,7
28,19264,20065,2,6_28,1,7
0,672,1473,2,7_0,1,8
1,1328,2129,1,7_1,1,8
2,2000,2801,3,7_2,1,8
3,2656,3457,1,7_3,1,8
4,3328,4129,2,7_4,1,8
5,3984,4785,1,7_5,1,8
6,4656,5457,3,7_6,1,8
7,5312,6113,1,7_7,1,8
8,5984,6785,2,7_8,1,8
9,6640,7441,1,7_9,1,8
10,7312,8113,3,7_10,1,8
11,7968,8769,1,7_11,1,8
12,8640,9441,2,7_12,1,8
13,9296,10097,1,7_13,1,8
14,9968,10769,3,7_14,1,8
15,10624,11425,1,7_15,1,8
16,11296,12097,3,7_16,1,8
17,11952,12753,1,7_17,1,8
18,12624,13425,2,7_18,1,8
19,13280,14081,1,7_19,1,8
20,13952,14753,2,7_20,1,8
21,14608,15409,1,7_21,1,8
22,15280,16081,3,7_22,1,8
23,15936,16737,1,7_23,1,8
24,16608,17409,3,7_24,1,8
25,17264,18065,1,7_25,1,8
26,17936,18737,2,7_26,1,8
27,18592,19393,1,7_27,1,8
28,19264,20065,2,7_28,1,8
0,672,1473,3,8_0,1,9
1,1328,2129,1,8_1,1,9
2,2000,2801,2,8_2,1,9
3,2656,3457,1,8_3,1,9
4,3328,4129,3,8_4,1,9
5,3984,4785,1,8_5,1,9
6,4656,5457,2,8_6,1,9
7,5312,6113,1,8_7,1,9
8,5984,6785,2,8_8,1,9
9,6640,7441,1,8_9,1,9
10,7312,8113,3,8_10,1,9
11,7968,8769,1,8_11,1,9
12,8640,9441,3,8_12,1,9
13,9296,10097,1,8_13,1,9
14,9968,10769,2,8_14,1,9
15,10624,11425,1,8_15,1,9
16,11296,12097,3,8_16,1,9
17,11952,12753,1,8_17,1,9
18,12624,13425,2,8_18,1,9
19,13280,14081,1,8_19,1,9
20,13952,14753,3,8_20,1,9
21,14608,15409,1,8_21,1,9
22,15280,16081,2,8_22,1,9
23,15936,16737,1,8_23,1,9
24,16608,17409,2,8_24,1,9
25,17264,18065,1,8_25,1,9
26,17936,18737,3,8_26,1,9
27,18592,19393,1,8_27,1,9
28,19264,20065,3,8_28,1,9
0,672,1473,3,9_0,1,10
1,1328,2129,1,9_1,1,10
2,2000,2801,2,9_2,1,10
3,2656,3457,1,9_3,1,10
4,3328,4129,2,9_4,1,10
5,3984,4785,1,9_5,1,10
6,4656,5457,3,9_6,1,10
7,5312,6113,1,9_7,1,10
8,5984,6785,2,9_8,1,10
9,6640,7441,1,9_9,1,10
10,7312,8113,3,9_10,1,10
11,7968,8769,1,9_11,1,10
12,8640,9441,3,9_12,1,10
13,9296,10097,1,9_13,1,10
14,9968,10769,2,9_14,1,10
15,10624,11425,1,9_15,1,10
16,11296,12097,2,9_16,1,10
17,11952,12753,1,9_17,1,10
18,12624,13425,3,9_18,1,10
19,13280,14081,1,9_19,1,10
20,13952,14753,3,9_20,1,10
21,14608,15409,1,9_21,1,10
22,15280,16081,2,9_22,1,10
23,15936,16737,1,9_23,1,10
24,16608,17409,2,9_24,1,10
25,17264,18065,1,9_25,1,10
26,17936,18737,3,9_26,1,10
27,18592,19393,1,9_27,1,10
28,19264,20065,2,9_28,1,10
0,672,1473,2,10_0,1,11
1,1328,2129,1,10_1,1,11
2,2000,2801,3,10_2,1,11
3,2656,3457,1,10_3,1,11
4,3328,4129,3,10_4,1,11
5,3984,4785,1,10_5,1,11
6,4656,5457,2,10_6,1,11
7,5312,6113,1,10_7,1,11
8,5984,6785,3,10_8,1,11
9,6640,7441,1,10_9,1,11
10,7312,8113,2,10_10,1,11
11,7968,8769,1,10_11,1,11
12,8640,9441,2,10_12,1,11
13,9296,10097,1,10_13,1,11
14,9968,10769,3,10_14,1,11
15,10624,11425,1,10_15,1,11
16,11296,12097,3,10_16,1,11
17,11952,12753,1,10_17,1,11
18,12624,13425,2,10_18,1,11
19,13280,14081,1,10_19,1,11
20,13952,14753,2,10_20,1,11
21,14608,15409,1,10_21,1,11
22,15280,16081,3,10_22,1,11
23,15936,16737,1,10_23,1,11
24,16608,17409,3,10_24,1,11
25,17264,18065,1,10_25,1,11
26,17936,18737,2,10_26,1,11
27,18592,19393,1,10_27,1,11
28,19264,20065,3,10_28,1,11
0,672,1473,3,11_0,1,12
1,1328,2129,1,11_1,1,12
2,2000,2801,2,11_2,1,12
3,2656,3457,1,11_3,1,12
4,3328,4129,3,11_4,1,12
5,3984,4785,1,11_5,1,12
6,4656,5457,2,11_6,1,12
7,5312,6113,1,11_7,1,12
8,5984,6785,2,11_8,1,12
9,6640,7441,1,11_9,1,12
10,7312,8113,3,11_10,1,12
11,7968,8769,1,11_11,1,12
12,8640,9441,3,11_12,1,12
13,9296,10097,1,11_13,1,12
14,9968,10769,2,11_14,1,12
15,10624,11425,1,11_15,1,12
16,11296,12097,2,11_16,1,12
17,11952,12753,1,11_17,1,12
